epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,472.221,0.97148,1.24428,1.23395,0.00339,1.8609,0.45387,0.45116,0.37473,0.29227,0.46398,0.45778,0.38304,0.28482,0.82553,1.25284,2.15609,0.0063,0,0.0008218,0.0008218,0.0008218
29,488.842,1.00916,1.33666,1.24343,0.00333,1.79654,0.55138,0.46856,0.46886,0.36329,0.56048,0.47796,0.47718,0.34909,0.82397,1.2851,1.66445,0.00622,0,0.0008152,0.0008152,0.0008152
30,504.802,0.97549,1.25497,1.15443,0.00308,1.73435,0.54911,0.44332,0.46648,0.36173,0.54802,0.46295,0.47463,0.35202,0.81928,1.35635,1.64888,0.00615,0,0.0008086,0.0008086,0.0008086
31,521.456,1.00764,1.32352,1.2177,0.00331,1.83093,0.49972,0.49897,0.46134,0.35648,0.47726,0.51647,0.46736,0.34892,0.80825,1.30961,1.89678,0.00608,0,0.000802,0.000802,0.000802
32,538.399,0.975,1.26623,1.1776,0.00329,1.81846,0.57685,0.46547,0.45457,0.35727,0.55143,0.49285,0.45848,0.3471,0.80899,1.1909,2.05896,0.00608,0,0.0007954,0.0007954,0.0007954
33,553.969,0.9744,1.26648,1.17002,0.00339,1.70174,0.47746,0.43283,0.39683,0.31305,0.46548,0.45632,0.40297,0.29966,0.78681,1.19739,1.91904,0.00591,0,0.0007888,0.0007888,0.0007888
34,569.218,0.95185,1.25834,1.15234,0.00332,1.61843,0.49395,0.44673,0.4062,0.31909,0.48516,0.46155,0.40918,0.30863,0.80633,1.27716,1.81841,0.00613,0,0.0007822,0.0007822,0.0007822
35,585.488,0.97773,1.27547,1.15262,0.00311,1.76663,0.4759,0.46971,0.42199,0.33504,0.48409,0.47243,0.42769,0.33006,0.79084,1.20284,2.22247,0.00591,0,0.0007756,0.0007756,0.0007756
36,600.52,0.95023,1.19588,1.10089,0.00327,1.5971,0.53295,0.51902,0.50053,0.4024,0.53422,0.52508,0.50732,0.39233,0.79993,1.19662,1.85489,0.00603,0,0.000769,0.000769,0.000769
37,616.248,0.96933,1.26651,1.12773,0.00314,1.63871,0.59083,0.46357,0.49598,0.39094,0.59764,0.46639,0.49973,0.37873,0.81857,1.20921,1.81821,0.00626,0,0.0007624,0.0007624,0.0007624
38,632.416,0.91901,1.16658,1.14671,0.0033,1.67117,0.55604,0.47,0.48035,0.37973,0.56094,0.47019,0.48354,0.36705,0.8043,1.22596,1.80691,0.00616,0,0.0007558,0.0007558,0.0007558
39,648.421,0.98764,1.27876,1.13296,0.00312,1.59528,0.50663,0.45729,0.44267,0.35125,0.50484,0.47854,0.44812,0.33849,0.76369,1.21026,1.84246,0.00572,0,0.0007492,0.0007492,0.0007492
40,665.233,1.0083,1.2938,1.11492,0.0031,1.61888,0.47207,0.48214,0.44529,0.3505,0.47671,0.48555,0.45076,0.33532,0.82704,1.2121,1.79077,0.00624,0,0.0007426,0.0007426,0.0007426
41,681.016,0.95857,1.21622,1.12088,0.00297,1.60202,0.43598,0.55325,0.44714,0.35303,0.44225,0.55714,0.45413,0.34045,0.83496,1.20695,2.40501,0.00624,0,0.000736,0.000736,0.000736
42,696.695,0.97121,1.22704,1.08774,0.00329,1.43646,0.49108,0.54433,0.4811,0.38633,0.50043,0.55421,0.49012,0.37363,0.80227,1.17973,2.10091,0.00611,0,0.0007294,0.0007294,0.0007294
43,712.758,0.94252,1.17942,1.0866,0.00303,1.40702,0.47196,0.54482,0.48914,0.3912,0.48543,0.54942,0.49706,0.38073,0.80674,1.17173,1.80349,0.00626,0,0.0007228,0.0007228,0.0007228
44,729.109,0.94677,1.20492,1.07979,0.00311,1.51622,0.52503,0.50694,0.47496,0.37949,0.54059,0.51171,0.48258,0.3614,0.77611,1.20858,1.70693,0.00603,0,0.0007162,0.0007162,0.0007162
45,745.465,0.95129,1.20736,1.04108,0.00307,1.36647,0.56546,0.48963,0.49587,0.39098,0.57779,0.49248,0.50639,0.37113,0.82255,1.25698,1.97111,0.00622,0,0.0007096,0.0007096,0.0007096
46,760.898,0.97517,1.23997,1.05034,0.00296,1.5207,0.49508,0.53291,0.49477,0.39413,0.49939,0.54234,0.50727,0.38099,0.81054,1.18109,1.91603,0.00604,0,0.000703,0.000703,0.000703
47,777.452,0.97223,1.23141,1.05575,0.00296,1.42461,0.54544,0.47207,0.49558,0.39782,0.56072,0.47386,0.50357,0.37833,0.77652,1.12236,1.57469,0.00588,0,0.0006964,0.0006964,0.0006964
48,793.56,0.91551,1.1521,1.05048,0.00297,1.38403,0.53797,0.50233,0.51598,0.4117,0.54744,0.50133,0.52295,0.39728,0.80408,1.185,1.51676,0.00623,0,0.0006898,0.0006898,0.0006898
49,809.826,0.9551,1.21712,1.05508,0.00302,1.4632,0.53591,0.46467,0.47286,0.37747,0.54593,0.46821,0.48193,0.35862,0.78039,1.21296,2.12508,0.00608,0,0.0006832,0.0006832,0.0006832
50,826.499,0.96278,1.23845,1.07635,0.003,1.46271,0.46653,0.52615,0.45422,0.36415,0.48219,0.53602,0.46458,0.34511,0.78378,1.23396,2.5424,0.00611,0,0.0006766,0.0006766,0.0006766
51,842.988,0.93893,1.17067,1.02194,0.00301,1.40286,0.45988,0.4839,0.43419,0.34226,0.46809,0.48842,0.44085,0.32851,0.78998,1.19337,2.16138,0.00617,0,0.00067,0.00067,0.00067
52,858.744,0.90871,1.14307,1.02086,0.00303,1.32997,0.59196,0.48835,0.51596,0.41433,0.58805,0.5107,0.52655,0.4031,0.75438,1.20426,1.50887,0.00569,0,0.0006634,0.0006634,0.0006634
53,874.689,0.95358,1.19623,1.04162,0.00287,1.40027,0.604,0.48139,0.52822,0.41756,0.61039,0.48417,0.52943,0.39352,0.80786,1.23129,1.57483,0.00607,0,0.0006568,0.0006568,0.0006568
54,890.929,0.94788,1.21611,1.05031,0.0031,1.54273,0.53378,0.53419,0.53409,0.42408,0.52856,0.5502,0.53569,0.40427,0.79579,1.25318,2.07116,0.00604,0,0.0006502,0.0006502,0.0006502
55,907.034,0.89932,1.12951,1.00895,0.00297,1.33018,0.52557,0.52554,0.54804,0.43291,0.53909,0.53071,0.553,0.42039,0.81682,1.1987,2.04686,0.00628,0,0.0006436,0.0006436,0.0006436
56,922.241,0.95023,1.20307,1.00116,0.00299,1.42886,0.47675,0.54582,0.51898,0.41078,0.47962,0.54959,0.52546,0.39994,0.77613,1.16913,1.74262,0.00597,0,0.000637,0.000637,0.000637
57,938.841,0.9636,1.22437,1.02219,0.0028,1.39985,0.47787,0.54068,0.49268,0.38476,0.49375,0.55114,0.5072,0.37356,0.82833,1.17229,1.69553,0.00644,0,0.0006304,0.0006304,0.0006304
58,955.49,0.97662,1.23483,1.00606,0.0031,1.35376,0.51166,0.54956,0.51869,0.40865,0.52275,0.55588,0.53119,0.39239,0.77982,1.16112,1.64828,0.00605,0,0.0006238,0.0006238,0.0006238
59,972.064,0.93695,1.17122,1.00938,0.00297,1.32811,0.60539,0.49788,0.53493,0.41983,0.61863,0.50308,0.54538,0.40951,0.80616,1.16128,1.49017,0.00619,0,0.0006172,0.0006172,0.0006172
60,987.901,0.91484,1.14364,0.96164,0.00304,1.23482,0.7038,0.48988,0.57817,0.46219,0.68031,0.50492,0.58295,0.45254,0.77863,1.15215,1.36877,0.00603,0,0.0006106,0.0006106,0.0006106
61,1003.69,0.92174,1.14504,0.9657,0.00295,1.26172,0.66044,0.51075,0.5815,0.46388,0.6657,0.51263,0.58561,0.45492,0.78012,1.1794,1.40413,0.00598,0,0.000604,0.000604,0.000604
62,1020.14,0.94784,1.2033,1.00174,0.00317,1.28719,0.56041,0.52146,0.53188,0.42547,0.56523,0.52229,0.53508,0.40511,0.76987,1.15071,1.6983,0.00586,0,0.0005974,0.0005974,0.0005974
63,1036.18,0.92477,1.15348,0.93932,0.00282,1.21604,0.58166,0.48659,0.51764,0.41809,0.60366,0.48616,0.52423,0.40347,0.76137,1.13002,1.68396,0.00571,0,0.0005908,0.0005908,0.0005908
64,1052.4,0.92777,1.15119,0.95312,0.00299,1.16747,0.5724,0.55166,0.5316,0.4245,0.5769,0.55417,0.53802,0.40674,0.74176,1.1335,1.58736,0.00562,0,0.0005842,0.0005842,0.0005842
65,1068.43,0.9271,1.161,0.94657,0.00295,1.21281,0.58212,0.50811,0.52538,0.42086,0.59447,0.51134,0.53597,0.40527,0.74472,1.14129,1.44941,0.00557,0,0.0005776,0.0005776,0.0005776
66,1085.53,0.94046,1.1759,0.96217,0.00286,1.3268,0.55653,0.54816,0.56252,0.45075,0.55756,0.55359,0.56632,0.42592,0.74007,1.15861,1.35877,0.00556,0,0.000571,0.000571,0.000571
